"zoneCode","item","date","countStates","fQ","median","mean","tQ","maxStates"
2,"Cement Dangote",2011-06-01,6,7.82079944610596,9.21896648406982,10.4709670543671,16.4844218254089,6
2,"Cement Dangote",2011-12-01,6,9.13378763198853,11.2146511077881,15.0505610379306,32.478157043457,6
2,"Cement Dangote",2012-06-01,6,6.40376949310303,11.2678980827332,14.1256877581278,27.0511121749878,6
2,"Cement Dangote",2012-12-01,6,3.03640508651733,9.72252416610718,12.1803971699306,27.0127511024475,6
2,"Drink Swan Water Bottle",2010-06-01,6,6.51838674545288,23.573917388916,27.5895762993739,60.360025024414,6
2,"Drink Swan Water Bottle",2010-12-01,6,11.8079008102417,23.4993648529053,32.9288834791917,67.5366424560547,6
2,"Drink Swan Water Bottle",2011-06-01,6,8.10733094215393,17.3186974525452,27.4015649159749,63.8403787612915,6
2,"Drink Swan Water Bottle",2011-12-01,6,7.78389739990234,9.33200836181641,12.4670835841786,24.1104393005371,6
2,"Drink Swan Water Bottle",2012-06-01,4,7.40044198036194,7.67740941047668,7.71791625022888,8.0921000957489,6
2,"Drink Swan Water Bottle",2012-12-01,6,3.37636046409607,8.01221179962158,7.57320098876953,11.5467264175415,6
2,"Maize White",2010-06-01,6,8.4654301404953,29.258939743042,34.207802942821,68.1168420791626,6
2,"Maize White",2010-12-01,6,12.3189736366272,37.6372928619385,35.3076830591474,67.5865901947021,6
2,"Maize White",2011-06-01,6,11.2986763954163,27.2698783874512,33.6854036649068,70.9323280334472,6
2,"Maize White",2011-12-01,6,8.34780998229981,20.6250591278076,29.2520405451457,72.7555454254151,6
2,"Maize White",2012-06-01,6,1.87102408707142,19.280481338501,19.0945916076501,39.8910484313965,6
2,"Maize White",2012-12-01,6,8.17264852523804,15.5427236557007,20.985590171814,55.2016902923584,6
2,"Maize Yellow",2010-06-01,6,11.461446762085,17.1077919006348,38.5072245964637,98.8578399658203,6
2,"Maize Yellow",2010-12-01,6,12.7511522293091,26.5447769165039,33.9704469534067,67.0555480957031,6
2,"Maize Yellow",2011-06-01,6,5.08783404827118,19.537543296814,30.0975979566574,74.8551383972168,6
2,"Maize Yellow",2011-12-01,6,6.40737571716309,21.049861907959,32.3555834293365,67.6551040649414,6
2,"Maize Yellow",2012-06-01,6,9.97101902961731,24.190770149231,26.3667419751485,47.9868259429932,6
2,"Maize Yellow",2012-12-01,6,13.8082320690155,23.8922529220581,27.6466313089643,57.6893957138061,6
2,"Rice Imported",2010-06-01,6,10.2039093971252,24.1125917434692,34.3225919604301,80.137659072876,6
2,"Rice Imported",2010-12-01,6,13.0949397087097,27.6925868988037,29.5859534600202,56.0161117553711,6
2,"Rice Imported",2011-06-01,6,5.2314022064209,27.4947948455811,28.2769685891958,59.2100280761719,6
2,"Rice Imported",2011-12-01,6,10.8407255172729,21.9390640258789,28.3721618652344,54.6977394104004,6
2,"Rice Imported",2012-06-01,6,1.88749407231808,13.4476933479309,12.0979385872682,19.5303483009338,6
2,"Rice Imported",2012-12-01,6,8.71009368896484,14.5100030899048,17.1316059748332,30.6945985794067,6
2,"Rice Local",2010-06-01,6,9.42881965637207,33.0385026931763,37.4140738844872,70.5042171478271,6
2,"Rice Local",2010-12-01,6,10.3774890899658,34.2560844421387,45.2994360643275,88.2807144165039,6
2,"Rice Local",2011-06-01,6,9.74059991836548,34.6496725082397,38.3134773572286,77.9745780944824,6
2,"Rice Local",2011-12-01,6,12.2305441379547,21.1608533859253,27.5308971405029,68.3195907592773,6
2,"Rice Local",2012-06-01,6,6.24602615833282,11.9254608154297,16.7363115151723,34.675181388855,6
2,"Rice Local",2012-12-01,6,10.4125010490417,18.5062923431396,24.3001575469971,45.8749786376953,6
2,"Sorghum",2010-06-01,6,7.42090976238251,17.9551849365234,23.7798035144806,58.8906539916992,6
2,"Sorghum",2010-12-01,6,8.49859719276428,16.0263180732727,22.630405494145,44.8210094451904,6
2,"Sorghum",2011-06-01,6,11.4359346866608,17.7495365142822,30.5126235485077,67.6310195922851,6
2,"Sorghum",2011-12-01,6,13.0798477649689,24.8406553268433,35.1595878601074,79.8585815429688,6
2,"Sorghum",2012-06-01,6,13.9914495944977,25.864764213562,26.1815129915873,39.8480854034424,6
2,"Sorghum",2012-12-01,6,12.8576017856598,21.0691604614258,24.0917461259024,40.0040550231934,6
3,"Cement Dangote",2009-12-01,5,1.12817151546478,4.44216823577881,6.60014210487234,15.271443939209,5
3,"Cement Dangote",2010-06-01,5,2.1409386754036,4.12814378738403,4.50929179532187,6.21999325752258,5
3,"Cement Dangote",2010-12-01,5,2.15661805868149,4.37908864021301,4.58929204579556,7.86103940010071,5
3,"Cement Dangote",2011-06-01,5,6.40765035152435,8.20294690132141,15.4172736167908,45.6929817199707,5
3,"Cement Dangote",2011-12-01,5,6.90716533660889,7.7449734210968,15.2241181850433,45.8867492675781,5
