"zoneCode","item","date","fQ","median","mean","tQ","minY","maxY"
2,"Cement Dangote",2011-06-01,8.76074838638306,9.21896648406982,10.4709670543671,10.6244251728058,9,14
2,"Cement Dangote",2011-12-01,10.3732008934021,11.2146511077881,15.0505610379306,13.9456963539124,9,14
2,"Cement Dangote",2012-06-01,9.95292043685913,11.2678980827332,14.1256877581278,15.4943277835846,9,14
2,"Cement Dangote",2012-12-01,9.06869769096375,9.72252416610718,12.1803971699306,10.6648194789886,9,14
2,"Drink Swan Water Bottle",2010-06-01,15.7083253860474,23.573917388916,27.5895762993739,31.1197242736816,9,14
2,"Drink Swan Water Bottle",2010-12-01,21.2924270629883,23.4993648529053,32.9288834791917,45.4295043945312,9,14
2,"Drink Swan Water Bottle",2011-06-01,11.1193616390228,17.3186974525452,27.4015649159749,41.12255859375,9,14
2,"Drink Swan Water Bottle",2011-12-01,8.46701145172119,9.33200836181641,12.4670835841786,13.9053282737732,9,14
2,"Drink Swan Water Bottle",2012-06-01,7.47474217414856,7.67740941047668,7.71791625022888,7.92058348655701,9,14
2,"Drink Swan Water Bottle",2012-12-01,5.33652544021606,8.01221179962158,7.57320098876953,9.62262773513794,9,14
2,"Maize White",2010-06-01,16.6983389854431,29.258939743042,34.207802942821,49.455249786377,9,14
2,"Maize White",2010-12-01,17.7816290855408,37.6372928619385,35.3076830591474,43.2147665023804,9,14
2,"Maize White",2011-06-01,14.5091376304626,27.2698783874512,33.6854036649068,44.5442695617676,9,14
2,"Maize White",2011-12-01,15.484986782074,20.6250591278076,29.2520405451457,37.6801919937134,9,14
2,"Maize White",2012-06-01,8.10165154933929,19.280481338501,19.0945916076501,24.4028906822205,9,14
2,"Maize White",2012-12-01,11.0042400360107,15.5427236557007,20.985590171814,23.1263942718506,9,14
2,"Maize Yellow",2010-06-01,15.3039512634277,17.1077919006348,38.5072245964637,52.4591674804688,9,14
2,"Maize Yellow",2010-12-01,13.3832693099976,26.5447769165039,33.9704469534067,58.3643836975098,9,14
2,"Maize Yellow",2011-06-01,13.8669276237488,19.537543296814,30.0975979566574,46.9443073272705,9,14
2,"Maize Yellow",2011-12-01,16.7819652557373,21.049861907959,32.3555834293365,61.0907669067383,9,14
2,"Maize Yellow",2012-06-01,16.2959685325623,24.190770149231,26.3667419751485,32.4089245796204,9,14
2,"Maize Yellow",2012-12-01,16.7277021408081,23.8922529220581,27.6466313089643,27.6768236160278,9,14
2,"Rice Imported",2010-06-01,12.7890486717224,24.1125917434692,34.3225919604301,53.9489583969116,9,14
2,"Rice Imported",2010-12-01,16.5934600830078,27.6925868988037,29.5859534600202,43.1726455688477,9,14
2,"Rice Imported",2011-06-01,13.5407257080078,27.4947948455811,28.2769685891958,36.7742881774902,9,14
2,"Rice Imported",2011-12-01,11.5528535842896,21.9390640258789,28.3721618652344,45.464485168457,9,14
2,"Rice Imported",2012-06-01,7.13621163368225,13.4476933479309,12.0979385872682,18.8646469116211,9,14
2,"Rice Imported",2012-12-01,12.4582490921021,14.5100030899048,17.1316059748332,20.1874113082886,9,14
2,"Rice Local",2010-06-01,14.4643595218658,33.0385026931763,37.4140738844872,62.0634260177612,9,14
2,"Rice Local",2010-12-01,23.7529182434082,34.2560844421387,45.2994360643275,83.4507522583008,9,14
2,"Rice Local",2011-06-01,17.6628746986389,34.6496725082397,38.3134773572286,54.8325634002686,9,14
2,"Rice Local",2011-12-01,12.9414908885956,21.1608533859253,27.5308971405029,27.5094475746155,9,14
2,"Rice Local",2012-06-01,9.14391422271729,11.9254608154297,16.7363115151723,21.5748207569122,9,14
2,"Rice Local",2012-12-01,14.1942043304443,18.5062923431396,24.3001575469971,32.9476222991943,9,14
2,"Sorghum",2010-06-01,13.0698008537292,17.9551849365234,23.7798035144806,25.6223669052124,9,14
