"item","region","zone","town","date","price","townCode","lat","lon"
"Teff","Tigray","North Western Tigray","Endabaguna",2012-03-01,11.57,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2012-04-01,11.72,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2012-05-01,11.87,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2012-06-01,13.95,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2012-07-01,13.68,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2012-08-01,14.41,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2012-09-01,13.86,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2012-10-01,13.86,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2012-11-01,15.12,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2012-12-01,13.86,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2013-01-01,13.86,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2013-02-01,13.68,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2013-03-01,14.93,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2013-04-01,16.62,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2013-05-01,14.93,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2013-06-01,14.93,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2013-07-01,18.25,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2013-08-01,16.41,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2013-09-01,16.62,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2013-10-01,16.2,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2013-11-01,16.41,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2013-12-01,13.68,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2014-01-01,13.5,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2014-02-01,14.12,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2014-03-01,14.93,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2014-04-01,13.86,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2014-05-01,14.93,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2014-06-01,13.86,101062,13.938367132,38.178715474
"Teff","Tigray","Central Tigray","Adewa",2010-01-01,10.5,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2010-02-01,10.5,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2010-03-01,9.5,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2010-04-01,9.77,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2010-05-01,9.47,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2010-06-01,9.47,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2010-07-01,9.53,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2010-08-01,9.47,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2010-09-01,9.27,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2010-10-01,9,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2010-11-01,9,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2010-12-01,9.37,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2011-01-01,9.17,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2011-02-01,9.1,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2011-03-01,9.2,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2011-04-01,9.43,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2011-05-01,9.5,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2011-06-01,11,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2011-07-01,11.33,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2011-08-01,11.83,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2011-09-01,11.33,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2011-10-01,11.67,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2011-11-01,10.83,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2011-12-01,11.83,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2012-01-01,11.67,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2012-02-01,11.73,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2012-03-01,11.9,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2012-04-01,13.9,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2012-05-01,14,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2012-06-01,14.17,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2012-07-01,13.9,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2012-08-01,13.93,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2012-09-01,15.77,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2012-10-01,15.93,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2012-11-01,15.93,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2012-12-01,17,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2013-01-01,17.1,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2013-02-01,16.17,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2013-03-01,16.9,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2013-04-01,17.47,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2013-05-01,17.47,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2013-06-01,17.53,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2013-07-01,17,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2013-08-01,17.37,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2013-09-01,17.9,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2013-10-01,18.6,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2013-11-01,19,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2013-12-01,18.47,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2014-01-01,18,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2014-02-01,14.67,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2014-03-01,16.9,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2014-04-01,17.5,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2014-05-01,17.97,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Adewa",2014-06-01,17.73,102041,14.172135399,38.88807386
"Teff","Tigray","Central Tigray","Aksum",2010-01-01,9.1,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2010-02-01,9.4,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2010-03-01,8.57,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2010-04-01,9.38,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2010-05-01,9.08,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2010-06-01,9.9,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2010-08-01,8.89,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2010-09-01,8.97,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2010-10-01,7.68,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2010-11-01,9.16,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2010-12-01,7.36,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2011-01-01,8.1,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2011-02-01,8.55,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2011-03-01,8.62,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2011-04-01,9.66,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2011-05-01,10.1,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2011-06-01,10.97,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2011-07-01,11,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2011-08-01,10.05,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2011-09-01,10.96,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2011-10-01,10.22,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2011-11-01,10.72,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2011-12-01,10.22,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2012-01-01,10.46,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2012-02-01,10.05,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2012-03-01,12.79,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2012-04-01,12.53,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2012-05-01,11.73,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2012-06-01,13.68,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2012-07-01,13.86,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2012-08-01,13.5,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2012-09-01,15.67,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2012-10-01,13.86,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2012-11-01,16.49,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2012-12-01,16.56,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2013-01-01,13.56,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2013-02-01,16.07,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2013-03-01,16.29,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2013-04-01,16.07,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2013-05-01,16.49,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2013-06-01,16.34,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2013-07-01,16.34,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2013-08-01,17.32,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2013-09-01,16.49,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2013-10-01,18.11,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2013-11-01,16.57,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2013-12-01,13.74,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2014-01-01,16.7,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2014-02-01,13.85,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2014-03-01,14.26,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2014-04-01,15.85,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2014-05-01,16.14,102051,14.122567059,38.72590887
"Teff","Tigray","Central Tigray","Aksum",2014-06-01,16.7,102051,14.122567059,38.72590887
"Teff","Tigray","Eastern Tigray","Adigrat",2010-05-01,8.5,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Adigrat",2010-06-01,9.25,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Adigrat",2010-07-01,10.25,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Adigrat",2011-08-01,11.33,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Adigrat",2011-09-01,11.5,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Adigrat",2011-10-01,11.8,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Adigrat",2011-11-01,11.13,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Adigrat",2011-12-01,10.83,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Adigrat",2012-01-01,11.63,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Adigrat",2012-02-01,12.33,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Adigrat",2012-03-01,13.83,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Adigrat",2012-04-01,14,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Adigrat",2012-05-01,14.5,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Adigrat",2012-06-01,15.17,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Adigrat",2012-07-01,15.27,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Adigrat",2012-08-01,17,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Adigrat",2012-10-01,17.07,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Adigrat",2012-11-01,17.43,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Adigrat",2012-12-01,16,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Adigrat",2013-01-01,16.67,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Adigrat",2013-02-01,16.37,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Adigrat",2013-03-01,16.6,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Adigrat",2013-04-01,16.83,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Adigrat",2013-05-01,16.93,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Adigrat",2013-06-01,17.7,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Adigrat",2013-07-01,17.77,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Adigrat",2013-08-01,18,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Adigrat",2013-09-01,18,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Adigrat",2013-10-01,18.27,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Adigrat",2013-11-01,18,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Adigrat",2013-12-01,17.6,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Adigrat",2014-01-01,17,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Adigrat",2014-02-01,16.17,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Adigrat",2014-03-01,15.93,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Adigrat",2014-04-01,16.17,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Adigrat",2014-05-01,16.5,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Adigrat",2014-06-01,16.17,103041,14.271893325,39.46420412
"Teff","Tigray","Eastern Tigray","Wukero",2010-01-01,10.67,103062,13.784945764,39.599165117
"Teff","Tigray","Eastern Tigray","Wukero",2010-02-01,10.5,103062,13.784945764,39.599165117
"Teff","Tigray","Eastern Tigray","Wukero",2010-03-01,10.4,103062,13.784945764,39.599165117
"Teff","Tigray","Eastern Tigray","Wukero",2010-04-01,10.37,103062,13.784945764,39.599165117
"Teff","Tigray","Eastern Tigray","Wukero",2010-05-01,9.25,103062,13.784945764,39.599165117
"Teff","Tigray","Eastern Tigray","Wukero",2010-06-01,10.17,103062,13.784945764,39.599165117
"Teff","Tigray","Eastern Tigray","Wukero",2010-07-01,9.67,103062,13.784945764,39.599165117
"Teff","Tigray","Eastern Tigray","Wukero",2010-08-01,10,103062,13.784945764,39.599165117
"Teff","Tigray","Eastern Tigray","Wukero",2010-09-01,9.93,103062,13.784945764,39.599165117
"Teff","Tigray","Eastern Tigray","Wukero",2010-10-01,10.07,103062,13.784945764,39.599165117
"Teff","Tigray","Eastern Tigray","Wukero",2010-11-01,8.6,103062,13.784945764,39.599165117
"Teff","Tigray","Eastern Tigray","Wukero",2010-12-01,9.77,103062,13.784945764,39.599165117
"Teff","Tigray","Eastern Tigray","Wukero",2011-01-01,9.03,103062,13.784945764,39.599165117
"Teff","Tigray","Eastern Tigray","Wukero",2011-02-01,8.8,103062,13.784945764,39.599165117
"Teff","Tigray","Eastern Tigray","Wukero",2011-03-01,9,103062,13.784945764,39.599165117
"Teff","Tigray","Eastern Tigray","Wukero",2011-04-01,9.37,103062,13.784945764,39.599165117
"Teff","Tigray","Eastern Tigray","Wukero",2011-05-01,9.57,103062,13.784945764,39.599165117
"Teff","Tigray","Eastern Tigray","Wukero",2011-06-01,10.67,103062,13.784945764,39.599165117
"Teff","Tigray","Eastern Tigray","Wukero",2011-07-01,10.47,103062,13.784945764,39.599165117
"Teff","Tigray","Eastern Tigray","Wukero",2011-08-01,11.2,103062,13.784945764,39.599165117
"Teff","Tigray","Eastern Tigray","Wukero",2011-09-01,11.2,103062,13.784945764,39.599165117
"Teff","Tigray","Eastern Tigray","Wukero",2011-10-01,11.2,103062,13.784945764,39.599165117
"Teff","Tigray","Eastern Tigray","Wukero",2011-11-01,11.2,103062,13.784945764,39.599165117
"Teff","Tigray","Eastern Tigray","Wukero",2011-12-01,11.47,103062,13.784945764,39.599165117
